,HC,HC,HC,HC,HC,HC,HC,HC,PC,PC,PC,PC,PC,PC,PC,PC,PC,SC,SC,SC,SC,SC,SC,SC,SC,SC
calgranulin B,908.6,5720.6,1561.9,894.4,1177.4,1906.2,471.5,921.6,6829,6326.1,4139.5,1128.8,20841.1,5572,4045.1,606.5,1528.1,13573.3,8961.9,761.1,30257.5,4109.7,84547.1,3997.8,2409.3,1133.6
ALCAM,76.3,80.9,88.9,156.7,66.6,66.2,72.5,87.5,150.4,108.8,88,104.4,87.3,72.4,144,91.5,126.8,130.7,183.4,65.7,113.5,557.9,236.8,107.7,96.3,88.5
Flt3 ligand,4259.9,83.2,158.6,1189,105.8,1303.4,69.4,78.4,76.6,83.5,80.3,91.6,86.5,4523.2,71.4,82,73.8,76.1,69.7,83.8,78.1,67.5,94.5,76.9,73,102.6
6-Phosphogluconate dehydrogenase,50.7,39.5,36.5,38.1,39,34.2,154.4,48.1,31.6,29.9,36.1,43.8,51.3,38.4,38.2,46.2,37.8,32.9,31,37.4,41.4,28,36.3,33,47.7,34.4
Tropomyosin 1 alpha chain,128.4,127.1,275.1,125.3,150.7,133.5,124.1,130.2,124.7,136.2,120.4,132.8,149.1,121.6,131.6,128.5,121.9,123.7,122.2,157.9,111.2,111.6,120.5,114.1,123.1,193.3
b-Endorphin,135.3,155.2,160.6,152.6,141.8,123.7,260,143.1,222.3,123.8,140.2,158.5,176.1,183.1,123.5,177.7,196.9,153.7,230.2,207.5,206.6,186,436.7,154.8,145.7,309.7
ZNRF3,84.6,96,119.2,81.8,92.7,77.3,77.1,82.5,171.3,93.9,187,111.4,93.4,78.3,86.4,104.6,111.3,100.7,88,145.4,89.5,83.7,145.8,136.8,85,119.2
Carbonic anhydrase 6,42.3,56.9,38.6,72.6,31.7,40,44.3,50.2,251.7,2760.1,44.2,64.8,106.6,74.5,725,48.5,51.9,113.3,33.4,42.6,3528.1,666.9,86.7,58.4,52.6,64.1
SORC2,55.1,57.2,89.6,53.9,79.8,87.2,53.7,52.7,48.2,42.8,55,52.2,57.4,52.2,51.1,56.2,49.4,89.5,34.2,54.1,52.5,36.7,47,49.4,58.8,39.4
PKB beta,98.8,96.9,96,114.1,92.3,100.4,100,105.3,116.8,109.8,109.1,110.2,83.6,103,119.2,127.9,103.3,112,127,134.1,99.5,140.4,100.5,115.4,137.2,91.7
HGFA,44.5,48.9,71.5,47,55.4,43.2,57.6,47.9,39.7,38.2,41,49.5,56.7,40.8,38.2,56,41.5,40.5,31.2,38.3,51.5,135.2,43.4,40.9,43.3,35.7
ADAMTS-5,50,48.3,47.8,48.1,52.7,54.1,48.4,44.5,52.4,37.9,49.5,45.7,49.9,43.6,44.7,44.2,47.1,64.6,38.9,47.6,45.5,33.1,39.4,41,49.5,43.8
Ubiquitin+1,10655.5,6888.2,5042.8,12970.7,3166,9363.5,5926.6,9918.4,12526.3,17554.9,21051,8921.4,6700.4,17488.9,21809,8259,5651.6,14500.2,28248.6,7962.4,26273.4,20518.4,3035.7,9633.7,13139.2,13392.2
MIA,135.2,102.1,140.1,104.3,82.1,85.8,100.2,164.6,63,102.6,88.4,99.2,64.2,152.9,107.4,72.4,116.1,78.2,60.1,79,135.1,62.8,64.8,107,107.3,46
GPNMB,169.7,262.3,241.1,203.3,150.6,184.5,156.1,194.1,220.6,168.3,286,275.9,206.9,176.9,176,247.1,164.4,371.8,591.4,192.5,467.3,155.2,309.6,459.3,191.4,481.7
BCAM,112.9,58.1,53.3,56.2,55,54,52,57.2,46.6,48.7,68.4,59.3,64.5,49.3,45.8,64.1,51.7,49.9,39.8,56.1,59.7,44.3,54.3,43.2,53.2,49.1
RS3,53,55.2,59.2,57.1,50.7,55.8,60.4,51.8,78.7,51.3,57.9,55.2,65.2,55.9,53.2,59.5,51,66.6,74.4,52.6,76,66.8,154,72.9,59.7,46.3
YKL-40,516,1779.9,1774.1,469.1,106.5,713.9,143.8,354.9,28299.1,244.8,5612.9,242.4,3584.7,9202.5,352,372.8,127.1,1521.8,1555.3,145.6,2480.3,66749,11740.6,941.7,5680.5,561.8
PRL,153.1,187.4,657.9,195.5,302.9,175.8,155.2,161.2,471.2,286.2,173.4,154.4,220.1,165.6,169.4,158.2,157.4,267.3,578.1,185.6,287,386.1,1197.3,319.2,205.9,220.5
IL-17F,47.6,46.6,46.9,45.5,34.9,43.1,38.9,42.2,34.3,34,38.8,52.9,47.1,31.8,31.4,35.3,35.4,36.7,33,44.9,39.4,28.6,44.8,32.6,41,41
FGF-18,56.1,53.6,43.4,47.8,57.1,61.5,58.1,46.8,40,43.2,51.2,46.4,50.5,48.7,45.6,51.6,55.4,43.8,35.7,51.3,44.2,34,45.2,52.8,58.1,37.2
AIP,77.6,80.5,220.7,81.4,104,81.6,71.4,71,70.9,100.4,68.6,98.6,72.3,61.9,81.9,94.8,77.1,67.1,79.6,81.4,72.2,66.8,74.4,66.1,80.9,64.8
Proteinase-3,289.2,255,122.8,65.4,74.3,95.1,70.8,79.7,2451.2,443.5,575.6,74.1,309.7,332,554.3,80.9,146.5,433.4,1744.2,56.4,574.8,3808.5,982.7,683.8,3124.6,49.4
Azurocidin,56.2,48.4,37.8,41.7,57,47.4,42.6,39.5,138.8,128.8,77.5,42.1,47.9,56.3,63.3,50.1,53.3,43.7,194.7,46.8,64.4,271.8,79.6,70.6,58.8,35
BTK,127.2,50.6,53.6,71.2,78.8,53.4,56.5,69.6,48.8,60.7,55.5,47.9,61.9,51.2,62,47.8,72.3,58.7,55.6,53.8,46.8,42.2,52.2,57.9,52.7,31.9
S100A12,1596.5,1408.2,607.7,447.9,255.1,315.4,180.3,261.9,13246.5,709.9,7930.2,275.1,644.6,1507.1,1061.4,264.9,227.4,363.8,8815.7,204.4,4569.3,22156.9,1716.5,831.8,1728.7,459.2
carbonic anhydrase II,52.1,54.7,59.2,52.3,42.8,53.6,51.4,52.4,41.5,39,49.5,54.5,62.5,51.8,45,54.5,46.4,54.3,31.4,52,52.6,32.9,46.8,49,47.7,39.1
ENPP7,137887.3,249938.6,135236.6,166015.1,61126.5,106876.4,30464.2,138334,107972.3,52,156654.3,63164.5,139264.1,144298.6,90.5,102307.8,175.7,69436.8,746.8,113013.2,11801.9,31224.4,70816.9,11779.7,58785.6,234994.4
14-3-3 protein beta/alpha,218.4,176.4,241,324.8,144.6,180.2,297.4,241.3,401.9,202.6,306.6,298.8,146.6,260.2,389.4,224.7,210.7,574.9,917.3,214.8,204,7092.5,305.1,318.1,268.5,246.5
paraoxonase 1,43.2,39.7,42.5,37.3,43.8,50.3,40.8,36.8,41.9,40,44.4,38.5,39.6,37.9,40.7,34.6,40.1,39.1,36.3,38.1,37.2,35.3,35.6,45.6,41.5,30.7
TIMP-1,380.5,304.1,145.2,160.9,96.5,108.7,142.9,289.8,2111,370.4,367.6,88.8,103.1,674,512.5,101.1,212.4,765.1,4633.7,84.9,467.2,14185.5,1473,1142.9,1004,89.5
STK16,187.3,206,180.7,154.2,202,212,152.9,262.5,222.2,198.1,207.5,336.8,185.2,189.4,167.5,296,181.2,261.2,373.6,273.9,150.1,228.4,177,278.7,1393.7,299.7
annexin II,29387.3,47527.2,30794.8,89884.8,4751.4,44236.1,12210,48665.2,46776.7,24072.9,61003.2,66080.6,16120.4,113248.9,30251.7,49122.9,16831,112193.3,74201.1,5992,135397.4,100949.1,98349.2,69546,51686.4,28043.9
RSPO2,68.6,61.2,50.1,58.6,75.2,60.4,69.3,62.3,56,66.9,54.8,58.4,60.2,69.4,65.3,62.1,67.5,55.3,54.4,49.2,58.7,49.6,58,71,61.9,42.5
B7-H2,703.8,650.3,1095.4,978.4,394.8,643.8,330,550.3,1349.5,503,1402.4,375.2,379.4,586.2,531,1042.9,335.7,1415.9,1826.9,600.9,1125.4,14638.1,1271.7,533.9,1980.3,591.5
ERBB2,62.4,53.9,53.8,52,70.6,67.7,61.7,60.4,54.2,90.1,52.4,48.6,57.6,103.3,61.6,52.1,64.7,55.2,59.1,57.6,50.2,48.3,52.5,58.9,54.3,43.2
Gro-a,122.1,110.3,154.3,128.8,185.6,143.1,121.5,119.2,163.8,208,128.2,98.9,99.2,132.1,140.3,113.2,186.3,111.7,234.7,154.9,177.2,315.4,159.5,137.9,144.6,177
sLRP1,108.5,179.5,280.8,189.9,141.3,107.5,98.5,155.1,176.3,135.5,135.5,554,137.7,213.2,106.4,254.9,88.6,254.8,170.9,143.9,333.9,198.1,200.8,112,322.7,206.5
HIV-2 Rev,58.3,47.2,39.8,48.8,46.7,44.6,48.9,43.6,34.2,37.6,41.9,40.1,43.5,43.5,43.7,41.9,58.4,35,29.1,38,42.3,36,47.5,47.6,47.6,32.8
MK08,99.1,48.9,68.3,57.7,61.6,80.2,48.1,48.3,122.2,51.8,55.5,49.4,56.4,57.8,63.7,60.1,51.9,66.2,51.6,58.2,48.2,37.7,50.3,37.5,48.1,41.6
Calpain I,387.8,259.3,338.9,1296.8,326.5,347.6,578.1,397.7,2726.4,1062.9,1799.6,920.1,256.5,3868.9,932.8,773.3,400.4,947.5,5497.4,358.4,640.2,4632.5,293.3,1064.8,951.5,403.2
41,71.3,73.7,326.4,176.5,178.9,108.6,109.2,191.1,69.2,114.5,67.6,71.7,90.4,94.5,81.4,79.8,94.3,76.6,100.4,89.7,64.3,72.3,87.5,77,152.3,74.4
JNK2,608.7,757.5,296.6,2286.9,1214.9,2387.2,1376,1322.5,7817.2,2012.3,6418.1,360.2,2367.9,5237.7,2403.4,822.4,3354.4,3666.8,8031.6,1875.5,248.9,5555.3,2128.1,10979.4,1030.1,3052.1
RASA1,585,472.1,581.9,444.5,464.9,1002.9,285.6,236.3,424,190.1,425,203.1,196.4,545.1,288.2,318.7,326.3,521.1,461.1,507.3,175.7,412.3,266,194,185.2,261.5
Lymphotoxin a2/b1,123.1,97.1,88.2,102.6,151.2,130.5,93.9,93,80.3,133.7,95.2,81,83.4,62.2,77.5,73.8,113.3,89.3,116.8,124.4,69.2,84,58.1,87,85.4,115.4
Adiponectin,40.9,40.7,95.6,50.3,41.7,41.3,37.9,38.5,324.9,110.7,86.5,49.7,62.2,87.5,99.8,42.5,37.8,171.9,2066.3,36.2,1096.8,3801.4,5960,2339.6,36.8,85.7
MP2K3,152.7,188.5,190.7,193.3,144.6,170.7,291.1,165.8,351.6,189.6,453.2,173.7,181.9,198.1,145,200.6,222.9,216.7,316.2,281.2,172.6,381.5,171.6,330.2,149,298.1
Cathepsin G,446.1,258.2,158,162.6,320.9,279.3,237.2,176.5,3433,653.7,1211.2,92.4,218.1,412.8,556.2,141.8,356.8,274.4,1557,189.8,283.2,4584.3,445.5,666.5,736.9,167
BASI,222.6,202,677.7,1070.4,251.3,276,220.1,247.7,204.4,200.5,207.8,340.8,146.6,192.4,288.6,311.6,316.2,245.9,465.3,172,120,169.1,165.3,187.4,743.1,216.2
MATN3,67.6,61.8,59.7,59.1,100,91.7,77.9,57.5,60.1,90.1,60.6,56.2,61.3,53.2,71.1,53.1,82.8,52.4,78.9,61.3,48.9,50,54.7,70.1,60.4,47.5
SEPR,98.6,116.9,125.8,109.7,108.5,125.5,103.2,106.5,103.6,106.2,113.2,111.2,106.9,95.3,100.3,118.9,109.2,114.8,162.7,138.9,127.2,96.8,167.2,115.2,115.8,213.3
KPCT,109.5,99.9,148.7,84.1,241.2,134.2,153.1,101.1,90,287.3,86.5,78.6,85,86.9,194.9,92.7,533.9,91.4,122.1,92.5,76.8,82.9,107.5,334.7,83.1,78.8
NovH,158.7,92.8,89.5,86.1,123.8,110.6,107.9,83.9,82.1,102.1,97.4,81,100.1,97.2,108.8,89,128.7,85.7,92.2,102.9,78.6,73.2,90.1,110.2,85.9,82.6
NUDC3,47.4,46.7,39.3,48.6,35.2,41.5,47,44.8,42.2,41,44.9,45.5,47.4,40.5,46.3,45.3,46.1,40.1,31.2,45.2,42.7,31.1,42.9,38.4,45.1,30.7
ANGL4,249.8,265.6,503.5,240.3,656.8,359,306.1,360.2,551.6,956.7,282.5,259.2,268.2,260.8,443.3,315.1,257.4,369,718.5,468.3,337.1,406,1156,390.6,344.5,516.8
Heparin cofactor II,42.1,39.8,31.8,36.5,49.3,38,60.9,41.7,36.6,41.8,35.8,39.3,44.8,39,45,39.2,63,35.8,26.3,29,41.1,32.4,36.7,73.9,35.7,30.3
IL-1F6,195.3,234.5,283.9,219.4,175.2,227.2,184.7,210,209.8,180.4,234.6,263.4,241.6,184.9,184.4,272.4,169.5,240.9,190,237,296.1,356.3,256.1,208.3,226.6,472
GPC2,72.1,55.8,42.2,52.5,64.1,66.6,92.6,72.1,44.4,66.2,60.8,51.6,58.1,99.7,78.9,55.1,121.3,50.7,48.2,50,50,48.5,47.2,149.4,63.3,34.1
IL-1Rrp2,68,81.6,67.8,193.3,59.2,66.4,69,60.4,58.5,55.4,65,60.5,63,60.8,53.1,60.8,59.9,56.5,61.2,78.5,57.6,59.2,66.8,51.8,78.5,51.3
IL-9,45.6,42.2,46.7,41,42,55.7,39.6,42.9,41.8,37.9,39.7,43.9,52.6,42.6,44.3,37.5,43.5,41.9,32.8,41.5,46.4,34.2,41.9,34.6,42.9,39.7
Epithelial cell kinase,39.2,56.9,57.1,85.4,28.7,38.8,36.9,53.5,72.5,101.5,81.2,85.1,47.9,42.7,150.5,74.8,42.9,85.4,170.5,45,70,532.6,46.8,60.1,119.8,34.7
Sonic Hedgehog,40.8,49.5,43.5,37.7,26.6,34.5,41.1,60,88.2,30.4,57.1,121.9,51.6,52,41.4,59.9,33,58.8,128.5,40.8,51,91.8,38,64,60.4,36.9
RXFP1,57.7,63,98.6,61.8,69.5,83.6,66,63.9,62.3,71.7,61.6,67.6,68.5,67.2,58.2,71.6,57.9,58.9,55.4,67.1,65.1,46.3,63.9,54.1,64.3,46
HMGR,49.8,52.1,69.8,52.8,64.5,49.8,51.3,86.4,49.2,51,50.1,58.9,65.9,70.4,52.1,61,60.2,53.5,47.9,52.4,50.7,39.5,52.4,47.2,51.7,42.9
MFGM,42.1,34.6,29.8,43.5,29.1,38.6,46.2,46.4,66.6,107.8,46.2,44.9,38.2,48.1,163.2,43.2,48.7,107.7,68.6,33.8,41.7,263.4,46.6,45.9,63.5,33.8
HCE000104,8984.5,8900.6,8805.7,8952,8990.2,8769.9,8886.6,8851.8,8963,8946.7,8969.6,8960.7,8959.7,9070.9,8824.5,9041.7,8860.2,9065.4,8988.4,8988.4,9136.5,9129.2,8926.8,9113,8723.1,8871.2
EphB6,141.8,143,192.9,149.5,129.8,169,141.8,133.1,173.7,129,249.3,150.2,148.2,331.5,131.1,184.5,145,156.6,234,159.7,153.6,179.7,145.4,150.8,136.9,229.3
Contactin-5,42.6,42.9,42.6,44.4,45.4,50,40.8,39,43,46.9,44.7,38.6,44.5,52.8,44.8,41.4,42.5,39.7,42.2,48.2,39.3,37.1,40.4,39.5,43.9,30.3
BMP-6,53,60.3,67.8,58.6,43.7,43.4,42.4,59.1,58.1,38.2,46,93.5,54.5,47.6,43.1,88,38.6,68.4,98.7,52,74.9,102.6,53.5,53.5,78.8,45.4
